ID;Unidade regional;UF;Município;Serviço;N° Fistel;N° da Estacao;Latitude da Estação;Longitude da Estação
1;GR01;SP;Araçatuba;Radiodifusão Comunitária;50404342787;690659393;-21,186111;-50,445
2;GR01;SP;Araçatuba;AUXILIAR RADIODIF.- TRANSMISS. DE PROGRAMAS;2022623592;4105796;-21,187222;-50,45222
3;GR01;SP;Araçatuba;AUXILIAR RADIODIF.- TRANSMISS. DE PROGRAMAS;2031959654;3569748;-21,212223;-50,445557
4;GR01;SP;Araçatuba;Limitado Privado;50412479605;1001644520;-21,21699;-50,44515
5;GR01;SP;Araçatuba;Limitado Privado;50417179405;1353020;-21,195278;-50,415
6;GR01;SP;Araçatuba;Limitado Privado;50500013667;1015185883;-21,182777;-50,440834
7;GR01;SP;Araçatuba;STFC/RADIOTELEFONICO - ESTACOES TERRESTRES;50404335578;689508816;-21,188944;-50,45589
8;GR01;SP;Barueri;Radiodifusão Comunitária;50404246478;699263336;-23,48639;-46,88639
9;GR01;SP;Barueri;Limitado Privado - Prestação a terceiros;50408880155;697335470;-23,484947;-46,8617
10;GR01;SP;Barueri;Limitado Privado - Prestação a terceiros;50407321632;695364545;-23,493738;-46,85228
11;GR01;SP;Barueri;Radioenlaces Associados ao Serviço de Circuito Especializado;50005802067;534588484;-23,494722;-46,8525
12;GR01;SP;Barueri;ESPC. P/FINS CIENTIF.EXPERIMENTAIS;50415826454;1005679557;-23,494097;-46,84483
13;GR01;SP;Barueri;Limitado Privado - Prestação a terceiros;50415612225;1006851299;-23,484722;-46,85933
14;GR01;SP;Barueri;Limitado Privado;2021610993;691633606;-23,509283;-46,86095
15;GR01;SP;Barueri;Limitado Privado;2020248816;695273965;-23,513758;-46,85501
16;GR01;SP;Barueri;Limitado Privado;50411073192;699851165;-23,502686;-46,816357
17;GR01;SP;Barueri;Limitado Privado;50403450381;688666272;-23,541111;-46,885
18;GR01;SP;Barueri;Limitado Privado;50001161199;1000923395;-23,500004;-46,8665
19;GR01;SP;Barueri;Limitado Privado;50001161199;1000923476;-23,499744;-46,86641
20;GR01;SP;Barueri;Limitado Privado;2021610993;442863705;-23,500694;-46,866833
21;GR01;SP;Bauru;Radiodifusão Comunitária;50401950875;689453590;-22,317778;-49,058334
22;GR01;SP;Bauru;Radiodifusão Sonora em Onda Média;2008021866;7805101;-22,3175;-49,092777
23;GR01;SP;Bauru;Radiodifusão Sonora em Freqüência Modulada;2008025349;7805446;-22,314722;-49,060555
24;GR01;SP;Bauru;Radiodifusão Comunitária;50412618060;1002902220;-22,324167;-49,110554
25;GR01;SP;Bauru;AUXILIAR RADIODIF.- TRANSMISS. DE PROGRAMAS;50416439705;1006734519;-22,338972;-49,065025
26;GR01;SP;Bauru;AUXILIAR RADIODIF.- REPORTAGEM EXTERNA;2031959220;3570274;-22,326944;-49,075
27;GR01;SP;Bauru;AUXILIAR RADIODIF.- TRANSMISS. DE PROGRAMAS;2022642899;683384813;-22,324694;-49,075027
28;GR01;SP;Bauru;Limitado Privado - Prestação a terceiros;50419591028;1010755550;-22,33625;-49,049473
29;GR01;SP;Bauru;AUXILIAR RADIODIF.- TRANSMISS. DE PROGRAMAS;50417337671;1008170353;-22,31611;-49,066387
