Date;Time;Value;GPGGA;gps_time;lat;N/S;lon;E/O;fix;number_satellites;diution;height;M;geoid_height;M;;*CRC;GPGSA;A;3D_fix;PRN;PRN;PRN;PRN;PRN;PRN;PRN;PRN;PRN;PRN;PRN;PRN;PDOP;HDOP;VDOP*CRC
23/04/2024;16:17:14;9.23;$GPGGA;191709.1;2.046.385.050;S;4.132.245.996;W;1;7;1.2;265.9;M;-5.0;M;;*4B;$GPGSA;A;3;5;7;9;14;17;20;22;;;;;;2.3;1.2;2.0*38
23/04/2024;16:17:15;9.20;$GPGGA;191716.6;2.046.387.108;S;4.132.245.178;W;1;8;1.1;268.0;M;-5.0;M;;*4C;$GPGSA;A;3;5;7;9;14;17;20;22;30;;;;;2.2;1.1;1.9*33
23/04/2024;16:17:16;9.20;$GPGGA;191717.7;2.046.387.343;S;4.132.244.818;W;1;8;1.1;267.8;M;-5.0;M;;*48;$GPGSA;A;3;5;7;9;14;17;20;22;30;;;;;2.2;1.1;1.9*33
23/04/2024;16:17:17;9.18;$GPGGA;191718.6;2.046.387.301;S;4.132.245.547;W;1;8;1.1;266.9;M;-5.0;M;;*46;$GPGSA;A;3;5;7;9;14;17;20;22;30;;;;;2.2;1.1;1.9*33
23/04/2024;16:17:18;9.20;$GPGGA;191719.6;2.046.388.638;S;4.132.244.492;W;1;8;1.1;267.6;M;-5.0;M;;*41;$GPGSA;A;3;5;7;9;14;17;20;22;30;;;;;2.2;1.1;1.9*33
23/04/2024;16:17:19;9.18;$GPGGA;191720.0;2.046.390.111;S;4.132.241.742;W;1;8;1.0;262.9;M;-5.0;M;;*48;$GPGSA;A;3;5;7;9;14;17;20;22;30;;;;;2.2;1.0;1.9*32
23/04/2024;16:17:19;9.21;$GPGGA;191721.0;2.046.389.243;S;4.132.242.453;W;1;7;1.0;263.8;M;-5.0;M;;*4A;$GPGSA;A;3;5;7;9;14;17;20;22;;;;;;2.2;1.0;1.9*31
23/04/2024;16:17:20;9.19;$GPGGA;191722.0;2.046.388.550;S;4.132.243.023;W;1;7;1.0;263.1;M;-5.0;M;;*46;$GPGSA;A;3;5;7;9;14;17;20;22;;;;;;2.2;1.0;1.9*31
23/04/2024;16:17:21;9.18;$GPGGA;191723.0;2.046.388.428;S;4.132.243.108;W;1;7;1.0;263.2;M;-5.0;M;;*42;$GPGSA;A;3;5;7;9;14;17;20;22;;;;;;2.2;1.0;1.9*31
23/04/2024;16:17:22;9.18;$GPGGA;191724.0;2.046.388.299;S;4.132.243.289;W;1;7;1.0;263.0;M;-5.0;M;;*41;$GPGSA;A;3;5;7;9;14;17;20;22;;;;;;2.2;1.0;1.9*31
23/04/2024;16:17:23;9.18;$GPGGA;191725.0;2.046.388.113;S;4.132.243.429;W;1;7;1.0;262.7;M;-5.0;M;;*4B;$GPGSA;A;3;5;7;9;14;17;20;22;;;;;;2.2;1.0;1.9*31
23/04/2024;16:17:24;9.20;$GPGGA;191726.0;2.046.388.009;S;4.132.243.558;W;1;7;1.0;262.3;M;-5.0;M;;*41;$GPGSA;A;3;5;7;9;14;17;20;22;;;;;;2.2;1.0;1.9*31
23/04/2024;16:17:25;9.21;$GPGGA;191727.0;2.046.388.057;S;4.132.243.638;W;1;8;1.0;262.1;M;-5.0;M;;*43;$GPGSA;A;3;5;7;9;14;17;20;22;30;;;;;2.0;1.0;1.7*3E
23/04/2024;16:17:26;9.19;$GPGGA;191728.0;2.046.387.811;S;4.132.243.899;W;1;8;1.0;262.1;M;-5.0;M;;*4C;$GPGSA;A;3;5;7;9;14;17;20;22;30;;;;;2.0;1.0;1.7*3E
23/04/2024;16:17:27;9.18;$GPGGA;191729.0;2.046.387.783;S;4.132.243.846;W;1;8;1.0;261.5;M;-5.0;M;;*4C;$GPGSA;A;3;5;7;9;14;17;20;22;30;;;;;2.0;1.0;1.7*3E
23/04/2024;16:17:28;9.17;$GPGGA;191730.0;2.046.387.679;S;4.132.243.910;W;1;8;1.0;261.5;M;-5.0;M;;*42;$GPGSA;A;3;5;7;9;14;17;20;22;30;;;;;2.0;1.0;1.7*3E
23/04/2024;16:17:29;9.17;$GPGGA;191731.0;2.046.387.694;S;4.132.243.825;W;1;8;1.0;261.2;M;-5.0;M;;*40;$GPGSA;A;3;5;7;9;14;17;20;22;30;;;;;2.0;1.0;1.7*3E
23/04/2024;16:17:30;9.14;$GPGGA;191732.0;2.046.387.741;S;4.132.243.783;W;1;8;1.0;261.1;M;-5.0;M;;*4A;$GPGSA;A;3;5;7;9;14;17;20;22;30;;;;;2.0;1.0;1.7*3E
23/04/2024;16:17:31;9.17;$GPGGA;191733.0;2.046.387.746;S;4.132.243.771;W;1;8;1.0;261.1;M;-5.0;M;;*41;$GPGSA;A;3;5;7;9;14;17;20;22;30;;;;;2.0;1.0;1.7*3E
23/04/2024;16:17:32;9.16;$GPGGA;191734.0;2.046.387.762;S;4.132.243.766;W;1;8;1.0;261.1;M;-5.0;M;;*46;$GPGSA;A;3;5;7;9;14;17;20;22;30;;;;;2.0;1.0;1.7*3E
23/04/2024;16:17:33;9.19;$GPGGA;191735.0;2.046.387.770;S;4.132.243.764;W;1;8;1.0;261.1;M;-5.0;M;;*46;$GPGSA;A;3;5;7;9;14;17;20;22;30;;;;;2.0;1.0;1.7*3E
23/04/2024;16:17:34;9.17;$GPGGA;191736.0;2.046.387.773;S;4.132.243.762;W;1;8;1.0;261.0;M;-5.0;M;;*41;$GPGSA;A;3;5;7;9;14;17;20;22;30;;;;;2.0;1.0;1.7*3E
23/04/2024;16:17:35;9.16;$GPGGA;191737.0;2.046.387.775;S;4.132.243.762;W;1;7;1.0;261.0;M;-5.0;M;;*49;$GPGSA;A;3;5;9;14;17;20;22;30;;;;;;2.0;1.0;1.7*39
23/04/2024;16:17:36;9.19;$GPGGA;191738.0;2.046.387.775;S;4.132.243.761;W;1;7;1.0;261.0;M;-5.0;M;;*45;$GPGSA;A;3;5;9;14;17;20;22;30;;;;;;2.0;1.0;1.7*39
23/04/2024;16:17:37;9.21;$GPGGA;191739.0;2.046.387.776;S;4.132.243.760;W;1;7;1.0;261.0;M;-5.0;M;;*46;$GPGSA;A;3;5;9;14;17;20;22;30;;;;;;2.0;1.0;1.7*39
23/04/2024;16:17:38;9.20;$GPGGA;191740.0;2.046.387.777;S;4.132.243.759;W;1;7;1.0;261.0;M;-5.0;M;;*43;$GPGSA;A;3;5;9;14;17;20;22;30;;;;;;2.0;1.0;1.7*39
23/04/2024;16:17:39;9.19;$GPGGA;191741.0;2.046.387.777;S;4.132.243.758;W;1;7;1.0;261.0;M;-5.0;M;;*43;$GPGSA;A;3;5;9;14;17;20;22;30;;;;;;2.0;1.0;1.7*39
23/04/2024;16:17:40;9.20;$GPGGA;191742.0;2.046.387.777;S;4.132.243.758;W;1;7;1.0;261.0;M;-5.0;M;;*40;$GPGSA;A;3;5;9;14;17;20;22;30;;;;;;2.0;1.0;1.7*39
23/04/2024;16:17:41;9.20;$GPGGA;191743.0;2.046.387.778;S;4.132.243.757;W;1;7;1.0;261.0;M;-5.0;M;;*41;$GPGSA;A;3;5;9;14;17;20;22;30;;;;;;2.0;1.0;1.7*39
23/04/2024;16:17:42;9.19;$GPGGA;191744.0;2.046.387.778;S;4.132.243.756;W;1;7;1.0;261.0;M;-5.0;M;;*47;$GPGSA;A;3;5;9;14;17;20;22;30;;;;;;2.0;1.0;1.7*39
23/04/2024;16:17:43;9.19;$GPGGA;191745.0;2.046.387.780;S;4.132.243.756;W;1;7;1.0;261.0;M;-5.0;M;;*41;$GPGSA;A;3;5;9;14;17;20;22;30;;;;;;2.0;1.0;1.7*39
23/04/2024;16:17:44;9.18;$GPGGA;191746.0;2.046.387.782;S;4.132.243.755;W;1;7;1.0;261.0;M;-5.0;M;;*43;$GPGSA;A;3;5;9;14;17;20;22;30;;;;;;2.0;1.0;1.7*39
23/04/2024;16:17:45;9.20;$GPGGA;191747.0;2.046.387.784;S;4.132.243.754;W;1;7;1.0;261.0;M;-5.0;M;;*45;$GPGSA;A;3;5;9;14;17;20;22;30;;;;;;2.0;1.0;1.7*39
23/04/2024;16:17:46;9.20;$GPGGA;191748.0;2.046.387.786;S;4.132.243.753;W;1;7;1.0;261.0;M;-5.0;M;;*4F;$GPGSA;A;3;5;9;14;17;20;22;30;;;;;;2.0;1.0;1.7*39
23/04/2024;16:17:47;9.19;$GPGGA;191749.0;2.046.387.788;S;4.132.243.752;W;1;7;1.0;261.0;M;-5.0;M;;*41;$GPGSA;A;3;5;9;14;17;20;22;30;;;;;;2.0;1.0;1.7*39
23/04/2024;16:17:48;9.19;$GPGGA;191750.0;2.046.387.790;S;4.132.243.752;W;1;7;1.0;261.0;M;-5.0;M;;*40;$GPGSA;A;3;5;9;14;17;20;22;30;;;;;;2.0;1.0;1.7*39
23/04/2024;16:17:49;9.18;$GPGGA;191751.0;2.046.387.792;S;4.132.243.750;W;1;7;1.0;261.0;M;-5.0;M;;*41;$GPGSA;A;3;5;9;14;17;20;22;30;;;;;;2.0;1.0;1.7*39
23/04/2024;16:17:50;9.19;$GPGGA;191752.0;2.046.387.793;S;4.132.243.750;W;1;7;1.0;261.0;M;-5.0;M;;*43;$GPGSA;A;3;5;9;14;17;20;22;30;;;;;;2.0;1.0;1.7*39
23/04/2024;16:17:51;9.19;$GPGGA;191753.0;2.046.387.794;S;4.132.243.750;W;1;7;1.0;261.0;M;-5.0;M;;*45;$GPGSA;A;3;5;9;14;17;20;22;30;;;;;;2.0;1.0;1.7*39
23/04/2024;16:17:52;9.19;$GPGGA;191754.0;2.046.387.796;S;4.132.243.750;W;1;7;1.0;261.0;M;-5.0;M;;*40;$GPGSA;A;3;5;9;14;17;20;22;30;;;;;;2.0;1.0;1.7*39
23/04/2024;16:17:53;9.18;$GPGGA;191755.0;2.046.387.797;S;4.132.243.749;W;1;7;1.0;261.0;M;-5.0;M;;*48;$GPGSA;A;3;5;9;14;17;20;22;30;;;;;;2.0;1.0;1.7*39
23/04/2024;16:17:54;9.19;$GPGGA;191756.0;2.046.387.798;S;4.132.243.748;W;1;7;1.0;261.0;M;-5.0;M;;*45;$GPGSA;A;3;5;9;14;17;20;22;30;;;;;;2.0;1.0;1.7*39
23/04/2024;16:17:55;9.17;$GPGGA;191757.0;2.046.387.799;S;4.132.243.747;W;1;7;1.0;261.0;M;-5.0;M;;*4A;$GPGSA;A;3;5;9;14;17;20;22;30;;;;;;2.0;1.0;1.7*39
