Wavecontrol MonitEM data
Date: 03/07/2024 13:47:25
MonitEM Serial: 13MT0268
Probe serial: 13WP040364
Frecuencies: 100kHz-8GHz
Units: V/m
Date:,Time,Value,GPGGA,gps_time,lat,N/S,lon,E/O,fix,number_satellites,diution,height,M,geoid_height,M,,*CRC,GPGSA,A,3D_fix,PRN,PRN,PRN,PRN,PRN,PRN,PRN,PRN,PRN,PRN,PRN,PRN,PDOP,HDOP,VDOP*CRC
2024/03/07,08:54:22,0.77,$GPGGA,,,,,,0,,,,,,,,*66,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2024/03/07,08:54:22,0.80,$GPGGA,115156.3,1352.379160,S,04004.614549,W,1,09,1.0,204.8,M,-10.0,M,,*79,$GPGSA,A,3,08,10,18,23,26,27,28,31,32,,,,1.7,1.0,1.4*39
2024/03/07,08:54:23,0.79,$GPGGA,115157.2,1352.379209,S,04004.614754,W,1,09,1.0,204.2,M,-10.0,M,,*71,$GPGSA,A,3,08,10,18,23,26,27,28,31,32,,,,1.7,1.0,1.4*39
2024/03/07,08:54:24,0.79,$GPGGA,115158.2,1352.379185,S,04004.613546,W,1,10,0.8,202.4,M,-10.0,M,,*7E,$GPGSA,A,3,08,10,16,18,23,26,27,28,31,32,,,1.6,0.8,1.4*36
2024/03/07,08:54:25,0.77,$GPGGA,115159.2,1352.378973,S,04004.614063,W,1,10,0.8,202.5,M,-10.0,M,,*7B,$GPGSA,A,3,08,10,16,18,23,26,27,28,31,32,,,1.6,0.8,1.4*36
2024/03/07,08:54:26,0.78,$GPGGA,115200.1,1352.378969,S,04004.614346,W,1,10,0.8,203.8,M,-10.0,M,,*74,$GPGSA,A,3,08,10,16,18,23,26,27,28,31,32,,,1.6,0.8,1.4*36
2024/03/07,08:54:27,0.78,$GPGGA,115201.1,1352.378761,S,04004.613982,W,1,10,0.8,204.2,M,-10.0,M,,*7B,$GPGSA,A,3,08,10,16,18,23,26,27,28,31,32,,,1.6,0.8,1.4*36
2024/03/07,08:54:28,0.78,$GPGGA,115202.0,1352.379302,S,04004.613548,W,1,10,0.8,204.3,M,-10.0,M,,*72,$GPGSA,A,3,08,10,16,18,23,26,27,28,31,32,,,1.6,0.8,1.4*36
2024/03/07,08:54:28,0.80,$GPGGA,115203.0,1352.379351,S,04004.613551,W,1,10,0.8,204.4,M,-10.0,M,,*7A,$GPGSA,A,3,08,10,16,18,23,26,27,28,31,32,,,1.6,0.8,1.4*36
2024/03/07,08:54:29,0.76,$GPGGA,115204.0,1352.379069,S,04004.613503,W,1,10,0.8,204.4,M,-10.0,M,,*72,$GPGSA,A,3,08,10,16,18,23,26,27,28,31,32,,,1.6,0.8,1.4*36
