ID;Unidade regional;UF;Município;Serviço;N° Fistel;N° da Estacao;Latitude da Estação;Longitude da Estação;Data da Medição;Valor Medido (V/m);Latitude do maior valor Medido;Longitude do maior valor Medido;N° de Medidas acima de 14 V/M;Justificativa (apenas para estações sem medições);Observações;Distância (km)
1;GR01;SP;Araçatuba;Radiodifusão Comunitária;50404342787;690659393;-21,186111;-50,445;;;;;;;Sem medição, sem justificativa;
2;GR01;SP;Araçatuba;AUXILIAR RADIODIF.- TRANSMISS. DE PROGRAMAS;2022623592;4105796;-21,187222;-50,45222;;;;;;;Sem medição, sem justificativa;
3;GR01;SP;Araçatuba;AUXILIAR RADIODIF.- TRANSMISS. DE PROGRAMAS;2031959654;3569748;-21,212223;-50,445557;;;;;;;Sem medição, sem justificativa;
4;GR01;SP;Araçatuba;Limitado Privado;50412479605;1001644520;-21,21699;-50,44515;;;;;;;Sem medição, sem justificativa;
5;GR01;SP;Araçatuba;Limitado Privado;50417179405;1353020;-21,195278;-50,415;;;;;;;Sem medição, sem justificativa;
6;GR01;SP;Araçatuba;Limitado Privado;50500013667;1015185883;-21,182777;-50,440834;;;;;;;Sem medição, sem justificativa;
7;GR01;SP;Araçatuba;STFC/RADIOTELEFONICO - ESTACOES TERRESTRES;50404335578;689508816;-21,188944;-50,45589;;;;;;;Sem medição, sem justificativa;
8;GR01;SP;Barueri;Radiodifusão Comunitária;50404246478;699263336;-23,48639;-46,88639;;;;;;;Sem medição, sem justificativa;
9;GR01;SP;Barueri;Limitado Privado - Prestação a terceiros;50408880155;697335470;-23,484947;-46,8617;;;;;;;Sem medição, sem justificativa;
10;GR01;SP;Barueri;Limitado Privado - Prestação a terceiros;50407321632;695364545;-23,493738;-46,85228;;;;;;;Sem medição, sem justificativa;
11;GR01;SP;Barueri;Radioenlaces Associados ao Serviço de Circuito Especializado;50005802067;534588484;-23,494722;-46,8525;;;;;;;Sem medição, sem justificativa;
12;GR01;SP;Barueri;ESPC. P/FINS CIENTIF.EXPERIMENTAIS;50415826454;1005679557;-23,494097;-46,84483;;;;;;;Sem medição, sem justificativa;
13;GR01;SP;Barueri;Limitado Privado - Prestação a terceiros;50415612225;1006851299;-23,484722;-46,85933;;;;;;;Sem medição, sem justificativa;
14;GR01;SP;Barueri;Limitado Privado;2021610993;691633606;-23,509283;-46,86095;;;;;;;Sem medição, sem justificativa;
15;GR01;SP;Barueri;Limitado Privado;2020248816;695273965;-23,513758;-46,85501;;;;;;;Sem medição, sem justificativa;
16;GR01;SP;Barueri;Limitado Privado;50411073192;699851165;-23,502686;-46,816357;;;;;;;Sem medição, sem justificativa;
17;GR01;SP;Barueri;Limitado Privado;50403450381;688666272;-23,541111;-46,885;;;;;;;Sem medição, sem justificativa;
18;GR01;SP;Barueri;Limitado Privado;50001161199;1000923395;-23,500004;-46,8665;;;;;;;Sem medição, sem justificativa;
19;GR01;SP;Barueri;Limitado Privado;50001161199;1000923476;-23,499744;-46,86641;;;;;;;Sem medição, sem justificativa;
20;GR01;SP;Barueri;Limitado Privado;2021610993;442863705;-23,500694;-46,866833;;;;;;;Sem medição, sem justificativa;
21;GR01;SP;Bauru;Radiodifusão Comunitária;50401950875;689453590;-22,317778;-49,058334;;;;;;;Sem medição, sem justificativa;
22;GR01;SP;Bauru;Radiodifusão Sonora em Onda Média;2008021866;7805101;-22,3175;-49,092777;;;;;;;Sem medição, sem justificativa;
23;GR01;SP;Bauru;Radiodifusão Sonora em Freqüência Modulada;2008025349;7805446;-22,314722;-49,060555;;;;;;;Sem medição, sem justificativa;
24;GR01;SP;Bauru;Radiodifusão Comunitária;50412618060;1002902220;-22,324167;-49,110554;;;;;;;Sem medição, sem justificativa;
25;GR01;SP;Bauru;AUXILIAR RADIODIF.- TRANSMISS. DE PROGRAMAS;50416439705;1006734519;-22,338972;-49,065025;;;;;;;Sem medição, sem justificativa;
26;GR01;SP;Bauru;AUXILIAR RADIODIF.- REPORTAGEM EXTERNA;2031959220;3570274;-22,326944;-49,075;;;;;;;Sem medição, sem justificativa;
27;GR01;SP;Bauru;AUXILIAR RADIODIF.- TRANSMISS. DE PROGRAMAS;2022642899;683384813;-22,324694;-49,075027;;;;;;;Sem medição, sem justificativa;
28;GR01;SP;Bauru;Limitado Privado - Prestação a terceiros;50419591028;1010755550;-22,33625;-49,049473;;;;;;;Sem medição, sem justificativa;
29;GR01;SP;Bauru;AUXILIAR RADIODIF.- TRANSMISS. DE PROGRAMAS;50417337671;1008170353;-22,31611;-49,066387;;;;;;;Sem medição, sem justificativa;
30;GR01;SP;Bauru;AUXILIAR RADIODIF.- REPORTAGEM EXTERNA;2031959220;3570290;-22,333334;-49,083332;;;;;;;Sem medição, sem justificativa;
31;GR01;SP;Bauru;AUXILIAR RADIODIF.- TRANSMISS. DE PROGRAMAS;50414331516;3223809;-22,339088;-49,066833;;;;;;;Sem medição, sem justificativa;
32;GR01;SP;Bauru;AUXILIAR RADIODIF.- REPORTAGEM EXTERNA;2031959220;3570282;-22,320833;-49,07639;;;;;;;Sem medição, sem justificativa;
33;GR01;SP;Bauru;Limitado Privado;50403450381;1002745796;-22,23675;-49,21908;;;;;;;Sem medição, sem justificativa;
34;GR01;SP;Bauru;Limitado Privado;50000941824;1006656682;-22,285093;-49,107716;;;;;;;Sem medição, sem justificativa;
35;GR01;SP;Bauru;Limitado Privado;50403450381;1002745982;-22,331472;-49,087833;;;;;;;Sem medição, sem justificativa;
36;GR01;SP;Caçapava;Radiodifusão Sonora em Freqüência Modulada;50001788400;323666574;-23,073055;-45,73861;;;;;;;Sem medição, sem justificativa;
37;GR01;SP;Caçapava;Radiodifusão Comunitária;50405724250;698944313;-23,101944;-45,712223;;;;;;;Sem medição, sem justificativa;
38;GR01;SP;Caçapava;SERVIÇO MOVEL PESSOAL;50010613854;682655651;-23,0992;-45,7076;;;;;;;Sem medição, sem justificativa;
39;GR01;SP;Caçapava;SERVIÇO MOVEL PESSOAL;50409146447;699608740;-23,0992;-45,7076;;;;;;;Sem medição, sem justificativa;
40;GR01;SP;Caçapava;SERVIÇO MOVEL PESSOAL;50409105090;399677216;-23,0992;-45,7076;;;;;;;Sem medição, sem justificativa;
41;GR01;SP;Caçapava;SERVIÇO MOVEL PESSOAL;50010613854;682655716;-23,0992;-45,7076;;;;;;;Sem medição, sem justificativa;
42;GR01;SP;Caçapava;AUXILIAR RADIODIF.- TRANSMISS. DE PROGRAMAS;50005543703;522990762;-23,1;-45,705555;;;;;;;Sem medição, sem justificativa;
