Wavecontrol MonitEM data
Date: 04/23/2024 16:57:04
MonitEM Serial: 13MT0312
Probe serial: 13WP040356
Frecuencies: 100kHz-8GHz
Units: V/m
Date,Time,Value,GPGGA,gps_time,lat,N/S,lon,E/O,fix,number_satellites,diution,height,M,geoid_height,M,,*CRC,GPGSA,A,3D_fix,PRN,PRN,PRN,PRN,PRN,PRN,PRN,PRN,PRN,PRN,PRN,PRN,PDOP,HDOP,VDOP*CRC
2024/04/23,16:17:12,8.57,$GPGGA,,,,,,0,,,,,,,,*66,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2024/04/23,16:17:13,9.21,$GPGGA,,,,,,0,,,,,,,,*66,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2024/04/23,16:17:13,9.22,$GPGGA,191707.8,,,,,0,,,,,,,,*79,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2024/04/23,16:17:14,9.23,$GPGGA,191709.1,2046.385050,S,04132.245996,W,1,07,1.2,265.9,M,-5.0,M,,*4B,$GPGSA,A,3,05,07,09,14,17,20,22,,,,,,2.3,1.2,2.0*38
2024/04/23,16:17:15,9.20,$GPGGA,191716.6,2046.387108,S,04132.245178,W,1,08,1.1,268.0,M,-5.0,M,,*4C,$GPGSA,A,3,05,07,09,14,17,20,22,30,,,,,2.2,1.1,1.9*33
2024/04/23,16:17:16,9.20,$GPGGA,191717.7,2046.387343,S,04132.244818,W,1,08,1.1,267.8,M,-5.0,M,,*48,$GPGSA,A,3,05,07,09,14,17,20,22,30,,,,,2.2,1.1,1.9*33
2024/04/23,16:17:17,9.18,$GPGGA,191718.6,2046.387301,S,04132.245547,W,1,08,1.1,266.9,M,-5.0,M,,*46,$GPGSA,A,3,05,07,09,14,17,20,22,30,,,,,2.2,1.1,1.9*33
2024/04/23,16:17:18,9.20,$GPGGA,191719.6,2046.388638,S,04132.244492,W,1,08,1.1,267.6,M,-5.0,M,,*41,$GPGSA,A,3,05,07,09,14,17,20,22,30,,,,,2.2,1.1,1.9*33
2024/04/23,16:17:19,9.18,$GPGGA,191720.0,2046.390111,S,04132.241742,W,1,08,1.0,262.9,M,-5.0,M,,*48,$GPGSA,A,3,05,07,09,14,17,20,22,30,,,,,2.2,1.0,1.9*32
2024/04/23,16:17:19,9.21,$GPGGA,191721.0,2046.389243,S,04132.242453,W,1,07,1.0,263.8,M,-5.0,M,,*4A,$GPGSA,A,3,05,07,09,14,17,20,22,,,,,,2.2,1.0,1.9*31
