Date:;Time;Value;GPGGA;gps_time;lat;N/S;lon;E/O;fix;number_satellites;diution;height;M;geoid_height;M;;*CRC;GPGSA;A;3D_fix;PRN;PRN;PRN;PRN;PRN;PRN;PRN;PRN;PRN;PRN;PRN;PRN;PDOP;HDOP;VDOP*CRC
07/03/2024;08:54:22;0.80;$GPGGA;115156.3;1.352.379.160;S;4.004.614.549;W;1;9;1.0;204.8;M;-10.0;M;;*79;$GPGSA;A;3;8;10;18;23;26;27;28;31;32;;;;1.7;1.0;1.4*39
07/03/2024;08:54:23;0.79;$GPGGA;115157.2;1.352.379.209;S;4.004.614.754;W;1;9;1.0;204.2;M;-10.0;M;;*71;$GPGSA;A;3;8;10;18;23;26;27;28;31;32;;;;1.7;1.0;1.4*39
07/03/2024;08:54:24;0.79;$GPGGA;115158.2;1.352.379.185;S;4.004.613.546;W;1;10;0.8;202.4;M;-10.0;M;;*7E;$GPGSA;A;3;8;10;16;18;23;26;27;28;31;32;;;1.6;0.8;1.4*36
07/03/2024;08:54:25;0.77;$GPGGA;115159.2;1.352.378.973;S;4.004.614.063;W;1;10;0.8;202.5;M;-10.0;M;;*7B;$GPGSA;A;3;8;10;16;18;23;26;27;28;31;32;;;1.6;0.8;1.4*36
07/03/2024;08:54:26;0.78;$GPGGA;115200.1;1.352.378.969;S;4.004.614.346;W;1;10;0.8;203.8;M;-10.0;M;;*74;$GPGSA;A;3;8;10;16;18;23;26;27;28;31;32;;;1.6;0.8;1.4*36
07/03/2024;08:54:27;0.78;$GPGGA;115201.1;1.352.378.761;S;4.004.613.982;W;1;10;0.8;204.2;M;-10.0;M;;*7B;$GPGSA;A;3;8;10;16;18;23;26;27;28;31;32;;;1.6;0.8;1.4*36
07/03/2024;08:54:28;0.78;$GPGGA;115202.0;1.352.379.302;S;4.004.613.548;W;1;10;0.8;204.3;M;-10.0;M;;*72;$GPGSA;A;3;8;10;16;18;23;26;27;28;31;32;;;1.6;0.8;1.4*36
07/03/2024;08:54:28;0.80;$GPGGA;115203.0;1.352.379.351;S;4.004.613.551;W;1;10;0.8;204.4;M;-10.0;M;;*7A;$GPGSA;A;3;8;10;16;18;23;26;27;28;31;32;;;1.6;0.8;1.4*36
07/03/2024;08:54:29;0.76;$GPGGA;115204.0;1.352.379.069;S;4.004.613.503;W;1;10;0.8;204.4;M;-10.0;M;;*72;$GPGSA;A;3;8;10;16;18;23;26;27;28;31;32;;;1.6;0.8;1.4*36
07/03/2024;08:54:30;0.76;$GPGGA;115205.0;1.352.378.252;S;4.004.613.385;W;1;10;0.8;204.4;M;-10.0;M;;*70;$GPGSA;A;3;8;10;16;18;23;26;27;28;31;32;;;1.6;0.8;1.4*36
07/03/2024;08:54:31;0.77;$GPGGA;115206.0;1.352.377.224;S;4.004.613.236;W;1;10;0.8;204.4;M;-10.0;M;;*74;$GPGSA;A;3;8;10;16;18;23;26;27;28;31;32;;;1.6;0.8;1.4*36
07/03/2024;08:54:32;0.77;$GPGGA;115207.0;1.352.376.029;S;4.004.613.091;W;1;10;0.8;204.5;M;-10.0;M;;*75;$GPGSA;A;3;8;10;16;18;23;26;27;28;31;32;;;1.6;0.8;1.4*36
07/03/2024;08:54:33;0.79;$GPGGA;115208.0;1.352.374.757;S;4.004.612.888;W;1;10;0.8;204.5;M;-10.0;M;;*77;$GPGSA;A;3;8;10;16;18;23;26;27;28;31;32;;;1.6;0.8;1.4*36
07/03/2024;08:54:35;0.81;$GPGGA;115209.0;1.352.373.422;S;4.004.612.769;W;1;10;0.8;204.5;M;-10.0;M;;*70;$GPGSA;A;3;8;10;16;18;23;26;27;28;31;32;;;1.6;0.8;1.4*36
