#BM MDM=OK*
#BM MSK=------------*
#BM TSS=OFF 16:00 ( 2q)  each 24h*
#BM TSM=NET 13:25 ( 1q)  each 04h*
#BM MES=0.00; ; V/m*
#BM IDN=490ZY30410;Nsts,AMB-8059-00; 2.29 11/22;490ZY30410;07.06.23;NET 13:25 ( 1q)  each 04h;OFF 16:00 ( 2q)  each 24h;------------;*
#BM MES=0.00; ; V/m*
#BM MDM=OK*
#BM SWI=OK*
#BM MDM=0*
#BM PRB=EP-1B-08:07.06.23; V/m:100.00:200.00:0.18:S*
#BM PRB=EP-1B-08:07.06.23; V/m:100.00:200.00:0.18:S*
#BM PRB=EP-1B-08:07.06.23; V/m:100.00:200.00:0.18:S*
#BM EEM=OK*
Erasing Mobile Flash
#BM ERM=OK   38*
#BM *;
MES=0.00; ; ; ; V/m; 3.65V; ;524.00;-8.00;63.00;29.20;57.57 -->04/04/24 08:21:17*;
MES=0.00; ; ; ; V/m; 3.65V; ;3.00;4.00;2.00;29.20;57.57 -->04/04/24 08:21:17*;
MES=0.00; ; ; ; V/m; 3.65V; ;5.00;-2.00;3.00;29.20;57.57 -->04/04/24 08:21:17*;
MES=0.00; ; ; ; V/m; 3.65V; ;-9.00;1.00;-1.00;29.20;57.57 -->04/04/24 08:21:18*;
MES=0.00; ; ; ; V/m; 3.65V; ;5.00;-2.00;1.00;29.20;57.57 -->04/04/24 08:21:18*;
MES=0.00; ; ; ; V/m; 3.65V; ;5.00;0.00;-2.00;29.20;57.57 -->04/04/24 08:21:18*;
MES=0.00; ; ; ; V/m; 3.65V; ;-10.00;0.00;2.00;29.20;57.57 -->04/04/24 08:21:18*;
MES=0.00; ; ; ; V/m; 3.65V; $GPRMC,112124.178,V,,,,,0.13,0.00,040424,,,N*42;;4.00;1.00;3.00;29.20;57.57 -->04/04/24 08:21:19*;
MES=0.00; ; ; ; V/m; 3.65V; $GPRMC,112124.178,V,,,,,0.13,0.00,040424,,,N*42;;3.00;2.00;-6.00;29.20;57.57 -->04/04/24 08:21:19*;
MES=0.00; ; ; ; V/m; 3.65V; $GPRMC,112124.178,V,,,,,0.13,0.00,040424,,,N*42;;1.00;-1.00;-4.00;29.20;57.57 -->04/04/24 08:21:19*;
MES=0.00; ; ; ; V/m; 3.65V; $GPRMC,112125.178,V,,,,,0.20,0.00,040424,,,N*43;;3.00;2.00;8.00;29.20;57.57 -->04/04/24 08:21:19*;
MES=0.00; ; ; ; V/m; 3.65V; $GPRMC,112125.178,V,,,,,0.20,0.00,040424,,,N*43;;2.00;-1.00;-2.00;29.20;57.57 -->04/04/24 08:21:20*;
MES=0.00; ; ; ; V/m; 3.65V; $GPRMC,112125.178,V,,,,,0.20,0.00,040424,,,N*43;;1.00;-2.00;1.00;29.20;57.57 -->04/04/24 08:21:20*;
MES=0.00; ; ; ; V/m; 3.65V; $GPRMC,112125.178,V,,,,,0.20,0.00,040424,,,N*43;;2.00;0.00;0.00;29.20;57.57 -->04/04/24 08:21:20*;
MES=0.00; ; ; ; V/m; 3.65V; $GPRMC,112126.175,V,,,,,0.09,0.00,040424,,,N*46;;1.00;2.00;-1.00;29.20;57.57 -->04/04/24 08:21:20*;
MES=0.00; ; ; ; V/m; 3.65V; $GPRMC,112126.175,V,,,,,0.09,0.00,040424,,,N*46;;-18.00;-1.00;-2.00;29.20;57.57 -->04/04/24 08:21:21*;
MES=0.00; ; ; ; V/m; 3.65V; $GPRMC,112126.175,V,,,,,0.09,0.00,040424,,,N*46;;1.00;-1.00;1.00;29.20;57.57 -->04/04/24 08:21:21*;
MES=0.00; ; ; ; V/m; 3.65V; $GPRMC,112126.175,V,,,,,0.09,0.00,040424,,,N*46;;2.00;-2.00;3.00;29.20;57.57 -->04/04/24 08:21:21*;
